district,block,klpid,school_name,dise_code,village,child_count,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,Village,District,Block,Date,Name of the school,KLP ID,Grama Panchayat,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q1,Q2,Q3,Q4,Q5,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Total
Bangalore Rural,Hosakote,36195,GHPS Doddanallurahalli,29210409801,Doddanallurahalli,30,30,0,0,30,0,0,30,0,0,0,30,0,29,0,1,30,0,0,26,4,0,22,8,0,25,4,1,18,10,2,Doddanallurahalli,Bangalore Rural,Hosakote,24/09/2016,GHPS Doddanallurahalli,36195,Chokkahalli,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,16
Bangalore rural,Hosakote,36246,GKHPS Doddaharalagere,29210401801,Doddaharalagere,48,26,22,0,48,0,0,48,0,0,31,17,0,36,12,0,48,0,0,37,9,2,46,2,0,48,0,0,31,17,0,Doddaralagere,Bangalore Rural,Hosakote,24/12/2016,GHPS Doddaralagere,36246,Doddaralagere,0.89,0.33,0.89,0.56,0.78,0.78,0.78,0.56,0.78,0.78,0.44,0.78,1,0.33,0.11,0,0.56,1,0.67,0,12
Bangalore rural,Hosakote,36028,GLPS Dyavasandra,29210400901,Dyavasandra,22,19,3,0,0,22,0,22,0,0,22,0,0,13,4,5,16,6,0,12,10,0,15,7,0,14,8,0,13,9,0,Dyavasandra,Bangalore Rural,Hosakote,24/12/2016,GLPS Dyavasandra,36028,Doddaralagere,1,0.5,1,1,1,0,0,1,0,0,0,0,1,0.5,0,0,0,1,1,0,9
Bangalore rural,Hosakote,36185,GKHPS E Hosahalli,29210400401,E Hosahalli,21,19,2,0,21,0,0,21,0,0,21,0,0,13,4,4,16,5,0,13,8,0,19,2,0,15,6,0,21,0,0,E Hosahalli,Bangalore Rural,Hosakote,24/12/2016,GHPS E Hosahalli,36185,Ittasandra,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,10
Bangalore rural,Hosakote,35888,GKHPS E Muthasandra,29210403702,E Muthasandra,59,58,1,0,55,4,0,58,1,0,7,51,1,48,10,1,58,1,0,47,12,0,57,2,0,55,4,0,34,25,0,E Muthasandra,Bangalore Rural,Hosakote,25/10/2016,GHPS E Muthasandra,35888,Jayamma,1,0.11,0.11,0.11,0,0,0,0.67,0.56,0.44,0.22,0.22,0.89,0,0,0.22,0.11,0.22,0.22,0,5.11
Bangalore rural,Hosakote,36068,GLPS Esthuru,29210400601,Esthuru,13,13,0,0,13,0,0,13,0,0,0,13,0,13,0,0,8,5,0,7,6,0,8,5,0,8,5,0,11,2,0,Esthuru,Bangalore Rural,Hosakote,24/12/2016,GLPS Esthuru,36068,Ittasandra,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,13
Bangalore rural,Hosakote,37163,GLPS Giddenahalli,29210405901,Giddenahalli,15,12,3,0,14,0,1,15,0,0,0,15,0,9,2,4,15,0,0,8,7,0,15,0,0,15,0,0,9,6,0,Giddanahalli ,Bangalore Rural,Hosakote,24/12/2016,GLPS Giddanahalli,37163,Nandagudi,0.83,0.5,0.17,0.33,0.33,0.67,0.67,0.83,0.67,0.67,0.33,0.33,0.67,0.17,0,0,0.67,0.33,0.67,0.17,9
Bangalore rural,Hosakote,35879,GKHPS Giddappanahali,29210402601,Giddappanahalli,78,33,45,0,77,1,0,78,0,0,3,75,0,24,54,0,76,2,0,46,32,0,66,12,0,64,14,0,75,3,0,Giddappanahalli,Bangalore Rural,Hosakote,24/12/2016,GHPS Giddappanahalli,35879,Giddappanahalli,0.64,0.27,0.45,0.18,0,0.09,0.09,0.36,0.55,0.45,0.18,0.09,0.73,0,0,0.09,0.09,0.09,0.36,0.09,4.82
Bangalore Rural,Hosakote,36244,GHPS Gollahalli,29200105801,Gollahalli,54,43,11,0,50,4,0,53,1,0,20,29,5,38,12,4,50,4,0,25,29,0,46,8,0,45,9,0,46,8,0,Gollahalli,Bangalore Rural,Hosakote,24/12/2016,GHPS Gollahalli,36244,Doddaralagere,1,0.6,0.6,0.6,0.4,0.2,0.6,0.4,0.8,1,0.6,0.4,1,0.4,0.2,0,0.4,0.6,0.6,0.2,10.6
Bangalore Rural,Hosakote,35970,GLPS Govindapura,29210413401,Govindapura,39,30,9,0,39,0,0,38,1,0,5,32,2,34,2,3,24,15,0,14,25,0,27,12,0,26,13,0,19,20,0,Govindapura,Bangalore Rural,Hosakote,24/09/2016,GLPS Govindapura,35970,Jadigenahalli,1,0.8,1,0.4,0.4,0.6,0.4,0.8,1,1,0.8,0.2,1,0.8,0,0.8,0.8,1,0.8,1,14.6
Bangalore Rural,Hosakote,36078,GLPS Haleuru,29210405804,Haleuru,47,24,23,0,42,0,5,47,0,0,45,1,1,19,8,20,32,15,0,7,40,0,24,23,0,22,25,0,21,26,0,Haleyuru ,Bangalore Rural,Hosakote,24/12/2016,GLPS Haleyuru,36078,Nandagudi,0.85,0.54,0.31,0.62,0.54,0.31,0.31,0.38,0.54,0.62,0.38,0.31,0.69,0.46,0,0,0.15,0.54,0.77,0,8.31
Bangalore rural,Hosakote,35967,GKLPS Haralauru,29210413001,Haraluru,20,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,19,1,0,14,6,0,16,4,0,15,5,0,20,0,0,Haraluru,Bangalore Rural,Hosakote,24/09/2016,GLPS Haraluru,35967,Jadigenahalli,1,1,1,0,0,0,0,0.5,0,0,0,0.5,1,0,0,1,1,0,0.5,0,7.5
Bangalore Rural,Hosakote,36072,GHPS Hindiganala,29210404801,Hindiganala,47,31,16,0,41,1,5,45,2,0,21,24,2,25,7,15,37,10,0,20,27,0,30,17,0,26,21,0,24,23,0,Hindiganala,Bangalore Rural,Hosakote,24/12/2016,GHPS Hindiganala,36072,Ittasandra,0.8,0.4,0.4,0.4,0.4,0.2,0,0.6,0.6,0.8,0.4,0.4,0.8,0.2,0.2,0.2,0.8,0.6,0.8,0.4,9.4
Bangalore rural,Hosakote,36245,GKLPS Hosadimbahalli,29210402201,Hosadimbahalli,14,13,1,0,8,6,0,11,3,0,12,2,0,13,0,1,12,2,0,9,5,0,12,2,0,11,3,0,12,2,0,Hosadimbahalli,Bangalore Rural,Hosakote,24/12/2016,GLPS Hosadimbahalli,36245,Doddaralagere,1,0.6,0.6,0.8,0.8,0.6,0.6,1,1,1,0.4,0.6,1,0.6,0.6,0,1,0.8,1,0.4,14.4
Bangalore Rural,Hosakote,36070,GHPS Ittasandra,29210404601,Ittasandra,68,68,0,0,68,0,0,68,0,0,0,68,0,68,0,0,68,0,0,68,0,0,68,0,0,68,0,0,68,0,0,Ittasandra,Bangalore Rural,Hosakote,24/12/2016,GHPS Ittasandra,36070,Ittasandra,0.88,0.5,0.5,0.63,0.25,0.38,0.38,0.63,0.63,0.63,0.5,0.5,0.88,0.25,0.38,0.63,0.5,0.88,0.88,0.38,11.13
Bangalore Rural,Hosakote,35966,GHPS Jadigenahalli,29210412901,Jadigenahalli,90,90,0,0,90,0,0,90,0,0,32,58,0,80,10,0,83,7,0,62,28,0,76,14,0,74,16,0,88,2,0,Jadigenahalli,Bangalore Rural,Hosakote,24/09/2016,GHPS Jadigenahalli,35966,Jadigenahalli,0.75,0.08,0.33,0.08,0.08,0,0,0.42,0.83,0.83,0.33,0.17,0.67,0.08,0,0.58,0.5,0.58,0.58,0,6.92
